First Name;Family Name;Country;Room Type;Days Rented;Season;Month;MonthNumber;Price;AdjustedDays
Ahmed;Garcia;Canada;Junior Suite;8;low;November;11;15456;6
Liam;Brown;Spain;Grand Lit;9;high;July;7;13275;12
David;Kim;Russia;Grand Lit;1;low;December;12;1149;1
John;Johansson;Russia;Grand Lit;1;low;March;3;1299;1
Elena;Johansson;Russia;Grand Lit;8;high;June;6;12288;10
Elena;Khan;Canada;LOFT Suite;9;low;February;2;27918;7
Elena;Silva;Brazil;Grand Lit;7;high;August;8;11872;9
Isabella;Martinez;Australia;Superior Double;2;mid;September;9;3814;2
Elena;Johansson;Nigeria;Standard Double;1;high;July;7;1952;1
Olivia;Silva;Australia;Standard Double;8;mid;May;5;12368;9
David;Khan;Nigeria;Superior Double;8;mid;October;10;12160;9
Fatima;Rossi;Egypt;Junior Suite;2;mid;September;9;4434;2
Fatima;Khan;Sweden;Standard Double;5;low;March;3;7315;4
Sophia;Johansson;United States;Suite;3;high;June;6;9087;4
Maria;Patel;United States;Standard Double;3;low;November;11;4740;2
John;Silva;Sweden;LOFT Suite;2;mid;September;9;6532;2
Chen;Schneider;Japan;Standard Double;1;low;January;1;1359;1
Lucas;Rossi;Nigeria;Grand Lit;10;mid;May;5;14710;11
Sophia;Yamamoto;South Korea;Standard Single;2;low;February;2;1824;2
Ingrid;Nguyen;United States;Suite;2;high;August;8;6090;3
Aisha;Ivanov;United Kingdom;Suite;5;low;December;12;13515;4
Muhammad;Garcia;India;Junior Suite;10;mid;September;9;22920;11
Muhammad;Sato;United Kingdom;Standard Single;4;low;January;1;3752;3
Sara;Sato;China;Suite;3;high;June;6;10317;4
Hiroshi;Hassan;France;Standard Double;5;high;August;8;8600;7
Fatima;Garcia;India;Grand Lit;9;high;August;8;12816;12
Olivia;Patel;Pakistan;Standard Double;9;low;December;12;13689;7
Ingrid;Silva;Mexico;Junior Suite;8;low;February;2;15696;6
Aisha;Kim;Canada;Standard Single;4;low;March;3;4512;3
Aisha;Johansson;China;LOFT Suite;1;mid;September;9;3764;1
Lucas;Smith;Sweden;Standard Single;3;low;February;2;3243;2
Isabella;Müller;France;Grand Lit;3;high;August;8;4329;4
Santiago;Johansson;Brazil;Junior Suite;9;high;June;6;19935;12
Ahmed;Khan;Sweden;Superior Double;1;high;July;7;1864;1
Hiroshi;Johansson;China;Suite;9;high;July;7;30105;12
Ahmed;Sato;South Korea;Junior Suite;7;high;June;6;17143;9
Isabella;Schneider;Vietnam;Standard Single;4;mid;April;4;4132;4
Ingrid;Lee;Russia;Suite;10;mid;September;9;30490;11
Ingrid;Rossi;Germany;Standard Double;8;mid;October;10;10536;9
Zhang;Nguyen;Germany;LOFT Suite;8;high;August;8;30480;10
Santiago;Khan;Japan;Grand Lit;8;mid;September;9;9808;9
Elena;Sato;China;Suite;7;mid;April;4;20356;8
Chen;Dubois;Egypt;Spa Executive;8;low;March;3;18480;6
Carlos;Rossi;Russia;Suite;10;high;July;7;33910;13
Sara;Müller;Russia;Standard Double;3;mid;May;5;4704;3
Lucas;Garcia;Canada;Standard Single;4;high;June;6;5248;5
Aisha;Khan;Sweden;Junior Suite;6;high;June;6;13236;8
Muhammad;Smith;Vietnam;Suite;3;mid;May;5;9393;3
Santiago;Khan;Germany;Standard Single;4;low;January;1;3952;3
Ingrid;Smith;United States;Spa Executive;2;high;August;8;5090;3
John;Kim;Nigeria;Standard Double;4;high;August;8;6732;5
David;Khan;Italy;Superior Double;2;low;February;2;2800;2
Maria;Khan;Mexico;Grand Lit;2;high;August;8;3216;3
David;Silva;Vietnam;Suite;2;high;July;7;6596;3
Lucas;Patel;United States;Suite;6;mid;September;9;16254;7
Liam;Martinez;United States;Standard Single;6;low;December;12;5928;5
Elena;Olsen;United Kingdom;Junior Suite;1;low;March;3;2104;1
Carlos;Müller;China;Standard Double;10;mid;October;10;13260;11
Chen;Khan;Japan;Junior Suite;4;low;February;2;7536;3
Elena;Kim;India;Standard Single;10;mid;September;9;11730;11
Liam;Brown;India;Grand Lit;2;low;November;11;2460;2
Liam;Yamamoto;Sweden;Standard Single;7;mid;May;5;8554;8
Muhammad;Müller;Spain;Superior Double;7;mid;April;4;13447;8
Ahmed;Johansson;Pakistan;Spa Executive;8;mid;September;9;20384;9
Fatima;Sato;India;Spa Executive;2;high;July;7;5440;3
Zhang;Kim;Mexico;Superior Double;6;low;December;12;9864;5
Sophia;Sato;Italy;Superior Double;2;low;January;1;3310;2
Liam;Olsen;Spain;Junior Suite;2;mid;October;10;4440;2
Ahmed;Yamamoto;Mexico;Superior Double;1;mid;October;10;1966;1
Sara;Khan;Vietnam;Standard Single;5;low;December;12;5685;4
Isabella;Olsen;Germany;Superior Double;5;mid;October;10;9640;6
Elena;Silva;Spain;Junior Suite;2;mid;September;9;4118;2
Olivia;Olsen;Pakistan;Junior Suite;3;low;November;11;5541;2
David;Brown;France;Spa Executive;5;high;July;7;12505;7
Ingrid;Yamamoto;South Korea;Suite;1;high;August;8;3068;1
Aisha;Rossi;Japan;Spa Executive;6;mid;October;10;13290;7
Fatima;Ivanov;Vietnam;Superior Double;8;high;July;7;15416;10
Maria;Lee;China;Superior Double;4;mid;September;9;7524;4
Muhammad;Nguyen;United States;Spa Executive;1;high;July;7;2606;1
Muhammad;Martinez;United Kingdom;Spa Executive;6;mid;May;5;14238;7
Sara;Rossi;Russia;Grand Lit;10;high;August;8;14200;13
Sophia;Kim;South Korea;Standard Single;4;high;July;7;5304;5
Aisha;Silva;Japan;Junior Suite;10;low;November;11;19980;8
Santiago;Silva;Sweden;Standard Double;8;high;July;7;13480;10
Chen;Kim;United States;LOFT Suite;8;low;January;1;24816;6
Aisha;Nguyen;China;Spa Executive;6;low;January;1;14874;5
Muhammad;Yamamoto;Italy;Standard Double;2;mid;April;4;3208;2
Isabella;Lee;Italy;Standard Single;2;low;February;2;2144;2
Isabella;Rossi;Canada;Grand Lit;1;mid;October;10;1391;1
Liam;Dubois;China;Junior Suite;7;low;November;11;13293;6
Chen;Smith;Australia;Spa Executive;2;low;November;11;4364;2
Chen;Nguyen;Vietnam;Spa Executive;1;high;July;7;2606;1
Liam;Olsen;Mexico;Standard Double;6;low;February;2;7782;5
Carlos;Silva;Brazil;Superior Double;3;low;February;2;5100;2
Elena;Kim;South Korea;Suite;8;low;January;1;21296;6
Aisha;Johansson;India;LOFT Suite;3;mid;May;5;9867;3
Fatima;Hassan;Egypt;Suite;5;mid;September;9;15415;6
Muhammad;Silva;Australia;Spa Executive;10;high;July;7;26210;13
John;Rossi;Italy;LOFT Suite;2;low;November;11;6830;2
John;Hassan;United States;Grand Lit;1;low;November;11;1122;1
Aisha;Kim;China;Suite;9;high;July;7;28359;12
Isabella;Smith;Vietnam;Suite;3;mid;May;5;8454;3
Elena;Smith;South Korea;Spa Executive;8;low;December;12;16776;6
Elena;Kim;Brazil;Spa Executive;8;low;February;2;19424;6
Liam;Rossi;Sweden;Superior Double;7;high;August;8;14140;9
John;Khan;China;Junior Suite;6;high;July;7;13434;8
Liam;Yamamoto;Nigeria;Standard Single;5;low;January;1;5825;4
Isabella;Müller;Russia;Spa Executive;3;high;June;6;7614;4
Aisha;Rossi;Spain;Standard Single;3;low;February;2;3087;2
Muhammad;Sato;Egypt;Standard Single;8;mid;April;4;9792;9
Muhammad;Johansson;China;Standard Single;7;low;January;1;7756;6
Sara;Khan;India;Spa Executive;2;high;July;7;5590;3
Sophia;Rossi;Spain;Superior Double;6;high;July;7;11538;8
Maria;Martinez;Sweden;LOFT Suite;1;high;July;7;3654;1
Olivia;Patel;Spain;Grand Lit;4;high;August;8;5912;5
Hiroshi;Smith;Japan;Grand Lit;5;low;November;11;6580;4
Maria;Ivanov;India;Standard Double;1;low;November;11;1410;1
Fatima;Olsen;Vietnam;Standard Double;6;high;July;7;11730;8
Ahmed;Brown;Canada;Suite;1;high;July;7;3224;1
John;Garcia;South Korea;Junior Suite;7;low;January;1;13293;6
Elena;Johansson;Canada;Grand Lit;9;high;June;6;16065;12
Santiago;Smith;Pakistan;LOFT Suite;6;mid;October;10;19362;7
Maria;Khan;Brazil;Grand Lit;3;mid;April;4;4341;3
Ingrid;Schneider;Vietnam;Junior Suite;6;mid;September;9;12300;7
David;Khan;Germany;Standard Double;5;mid;May;5;6805;6
Fatima;Sato;Nigeria;Standard Single;7;low;January;1;7497;6
Fatima;Yamamoto;Australia;Suite;2;low;February;2;5602;2
Fatima;Brown;United Kingdom;Suite;6;mid;October;10;17892;7
Ahmed;Sato;United Kingdom;Standard Double;10;mid;October;10;14930;11
Ahmed;Rossi;Australia;Junior Suite;2;mid;May;5;4518;2
Elena;Ivanov;India;Suite;6;mid;October;10;18378;7
Sara;Müller;Canada;Grand Lit;9;high;July;7;13779;12
Ingrid;Olsen;France;Spa Executive;5;mid;September;9;11335;6
Fatima;Khan;Spain;Standard Double;7;mid;April;4;9786;8
Lucas;Kim;United States;Junior Suite;9;mid;October;10;20187;10
Ingrid;Dubois;Vietnam;Junior Suite;2;low;November;11;3624;2
Aisha;Silva;Canada;Standard Single;8;low;January;1;8400;6
Carlos;Silva;Russia;Grand Lit;6;high;July;7;8586;8
Hiroshi;Smith;Mexico;Junior Suite;9;low;November;11;17154;7
Ingrid;Olsen;France;LOFT Suite;5;high;August;8;18900;7
Muhammad;Silva;South Korea;Superior Double;8;high;June;6;16568;10
Muhammad;Smith;France;Superior Double;4;mid;October;10;6676;4
Muhammad;Ivanov;Australia;Standard Double;6;low;February;2;7860;5
Maria;Rossi;India;Spa Executive;5;low;March;3;12160;4
John;Smith;Sweden;Superior Double;7;low;November;11;9870;6
Zhang;Patel;Brazil;Spa Executive;5;mid;October;10;12750;6
Sara;Hassan;China;Standard Double;3;mid;May;5;4077;3
Aisha;Silva;India;Junior Suite;6;high;August;8;14688;8
Hiroshi;Johansson;United Kingdom;Grand Lit;1;high;July;7;1753;1
Hiroshi;Ivanov;China;Grand Lit;7;mid;April;4;9947;8
Maria;Smith;Australia;Standard Single;10;low;February;2;11710;8
Ingrid;Yamamoto;Sweden;Grand Lit;6;mid;April;4;9534;7
Carlos;Kim;Brazil;Grand Lit;6;mid;October;10;8400;7
David;Martinez;China;Junior Suite;6;mid;May;5;12792;7
Lucas;Khan;Australia;Grand Lit;10;high;July;7;17150;13
Santiago;Brown;United Kingdom;Superior Double;7;low;February;2;11256;6
Muhammad;Yamamoto;United Kingdom;Superior Double;5;high;July;7;10635;7
Olivia;Ivanov;Spain;Superior Double;4;mid;April;4;6112;4
Olivia;Khan;United Kingdom;Standard Double;10;mid;April;4;15770;11
Santiago;Schneider;China;Standard Double;3;mid;April;4;4800;3
Muhammad;Johansson;Vietnam;Standard Single;2;high;August;8;2444;3
Hiroshi;Ivanov;Japan;Grand Lit;7;low;November;11;8099;6
Isabella;Kim;South Korea;Grand Lit;5;high;July;7;8170;7
Ahmed;Martinez;Egypt;Standard Double;6;low;February;2;8832;5
Liam;Yamamoto;Brazil;Standard Single;10;low;February;2;9320;8
Liam;Yamamoto;Canada;Junior Suite;6;high;July;7;13272;8
Liam;Rossi;Spain;Standard Single;1;mid;May;5;1038;1
Muhammad;Silva;Canada;LOFT Suite;7;high;August;8;26292;9
Ahmed;Smith;Australia;Standard Single;4;high;July;7;4852;5
Sophia;Garcia;France;Superior Double;1;mid;May;5;1939;1
Santiago;Martinez;Pakistan;Standard Double;1;high;August;8;1759;1
Liam;Smith;Sweden;Suite;8;low;November;11;23560;6
Lucas;Sato;Italy;Superior Double;6;low;November;11;8922;5
Zhang;Dubois;South Korea;Junior Suite;4;low;November;11;7464;3
Fatima;Dubois;Pakistan;Grand Lit;2;low;March;3;2686;2
Aisha;Johansson;France;Standard Double;1;low;January;1;1483;1
Carlos;Khan;South Korea;Grand Lit;2;low;November;11;2760;2
John;Dubois;Sweden;Spa Executive;9;high;August;8;25038;12
Olivia;Dubois;Russia;Standard Double;9;high;August;8;15003;12
Santiago;Yamamoto;France;Suite;5;high;June;6;16080;7
Sara;Martinez;Egypt;Spa Executive;8;high;August;8;21440;10
David;Müller;South Korea;Junior Suite;7;low;February;2;14329;6
Maria;Johansson;Mexico;Superior Double;2;mid;September;9;3768;2
Ingrid;Olsen;Nigeria;Superior Double;10;low;March;3;17490;8
David;Garcia;China;LOFT Suite;10;low;February;2;33860;8
Chen;Lee;South Korea;Standard Double;5;mid;September;9;8075;6
Ingrid;Khan;Brazil;Suite;6;mid;October;10;19446;7
Olivia;Yamamoto;India;Suite;1;high;June;6;3083;1
Elena;Garcia;Nigeria;Standard Double;6;high;June;6;10968;8
Lucas;Rossi;Mexico;Spa Executive;3;mid;October;10;7341;3
Carlos;Schneider;India;Standard Single;7;mid;April;4;8960;8
Elena;Rossi;Germany;Suite;4;mid;April;4;12984;4
Muhammad;Brown;Sweden;Spa Executive;1;low;February;2;2297;1
Muhammad;Schneider;Italy;Grand Lit;4;low;November;11;4452;3
David;Nguyen;India;Superior Double;2;low;December;12;2866;2
Sara;Martinez;Australia;Standard Double;9;low;November;11;14139;7
Aisha;Sato;Brazil;Suite;1;mid;May;5;2989;1
Fatima;Schneider;Italy;Superior Double;2;mid;October;10;3780;2
Muhammad;Brown;Germany;Grand Lit;9;low;December;12;10917;7
Santiago;Rossi;France;Superior Double;1;low;November;11;1736;1
Sara;Smith;Egypt;Suite;1;low;January;1;2849;1
Elena;Patel;Italy;Spa Executive;5;low;January;1;12085;4
Muhammad;Kim;Nigeria;LOFT Suite;6;low;November;11;18630;5
Elena;Yamamoto;Russia;Superior Double;8;high;July;7;17376;10
Ingrid;Lee;United Kingdom;Grand Lit;8;mid;May;5;9784;9
Ahmed;Smith;Russia;Spa Executive;4;mid;May;5;10000;4
David;Smith;Brazil;LOFT Suite;3;mid;May;5;10170;3
Isabella;Lee;India;Suite;9;mid;September;9;27297;10
Muhammad;Smith;Mexico;Superior Double;8;low;March;3;12592;6
Hiroshi;Smith;Mexico;Superior Double;6;mid;April;4;11142;7
Liam;Sato;United Kingdom;Superior Double;4;mid;May;5;7732;4
Zhang;Hassan;Russia;Junior Suite;5;high;August;8;12465;7
Sophia;Ivanov;Mexico;Spa Executive;5;low;December;12;11005;4
John;Müller;United States;LOFT Suite;2;high;August;8;7452;3
Ingrid;Rossi;Mexico;Superior Double;9;high;July;7;19332;12
Aisha;Johansson;Pakistan;Spa Executive;3;low;December;12;6630;2
Olivia;Hassan;Vietnam;Standard Double;8;low;November;11;11776;6
Aisha;Yamamoto;United Kingdom;Standard Double;10;low;November;11;15860;8
Aisha;Nguyen;Canada;Junior Suite;2;mid;April;4;4470;2
Muhammad;Hassan;Italy;Suite;8;mid;May;5;23112;9
Elena;Müller;Egypt;Standard Double;10;low;January;1;15740;8
Liam;Müller;South Korea;LOFT Suite;3;low;February;2;9507;2
Zhang;Smith;France;Grand Lit;10;mid;September;9;12290;11
Isabella;Garcia;China;Junior Suite;10;high;July;7;24910;13
David;Dubois;Australia;Standard Single;3;mid;October;10;3675;3
David;Dubois;Canada;Standard Double;8;low;November;11;11928;6
Liam;Müller;Spain;Spa Executive;10;high;June;6;25350;13
Ingrid;Martinez;Spain;Junior Suite;4;mid;April;4;9324;4
Elena;Ivanov;India;Junior Suite;3;low;March;3;5772;2
Isabella;Kim;Italy;Superior Double;10;low;December;12;17510;8
Elena;Silva;Vietnam;Grand Lit;9;high;July;7;15435;12
Lucas;Sato;Brazil;Standard Single;10;mid;May;5;11340;11
Hiroshi;Smith;Mexico;Standard Single;9;high;August;8;12015;12
Santiago;Ivanov;Brazil;Junior Suite;6;high;August;8;13620;8
Olivia;Olsen;Nigeria;Junior Suite;7;low;December;12;13860;6
John;Olsen;Australia;Superior Double;1;high;July;7;2098;1
Olivia;Sato;Italy;Standard Single;6;mid;April;4;7320;7
Zhang;Nguyen;Germany;LOFT Suite;5;high;August;8;18565;7
Elena;Martinez;Nigeria;Standard Single;2;low;March;3;1958;2
Ahmed;Müller;India;Grand Lit;4;mid;September;9;5580;4
Santiago;Garcia;France;Superior Double;10;high;July;7;18750;13
David;Schneider;United States;Superior Double;9;high;August;8;16524;12
Isabella;Olsen;United Kingdom;Superior Double;2;mid;April;4;3036;2
David;Yamamoto;United Kingdom;Junior Suite;6;high;June;6;14790;8
Muhammad;Schneider;Japan;Junior Suite;10;mid;September;9;20640;11
Maria;Nguyen;Egypt;Suite;8;low;November;11;20072;6
Muhammad;Rossi;Japan;Standard Double;4;high;June;6;6520;5
Aisha;Rossi;Japan;Superior Double;6;mid;September;9;9984;7
Olivia;Patel;China;Superior Double;3;low;November;11;4344;2
Chen;Patel;Nigeria;Grand Lit;9;mid;May;5;12294;10
Santiago;Yamamoto;Spain;Grand Lit;4;low;November;11;5156;3
Ahmed;Garcia;Mexico;Grand Lit;1;mid;May;5;1564;1
Olivia;Johansson;Pakistan;LOFT Suite;7;high;July;7;25550;9
Ahmed;Rossi;China;Grand Lit;10;mid;September;9;13930;11
Sophia;Müller;Russia;Spa Executive;2;mid;September;9;4950;2
Chen;Garcia;Canada;Grand Lit;10;high;July;7;17590;13
Elena;Ivanov;Australia;LOFT Suite;6;high;June;6;21648;8
Sara;Johansson;Germany;Suite;9;mid;September;9;26604;10
Ahmed;Nguyen;United Kingdom;Superior Double;2;high;July;7;3694;3
Isabella;Smith;Sweden;Suite;9;mid;May;5;24966;10
Santiago;Hassan;Japan;LOFT Suite;3;low;February;2;9732;2
Santiago;Nguyen;South Korea;Standard Single;1;mid;April;4;1133;1
Elena;Khan;United States;Junior Suite;5;high;June;6;12460;7
Chen;Ivanov;United States;Grand Lit;3;high;August;8;4569;4
Ahmed;Khan;Germany;LOFT Suite;1;high;August;8;3719;1
Aisha;Dubois;Germany;Superior Double;7;low;March;3;10423;6
Hiroshi;Kim;Mexico;Superior Double;5;low;March;3;8620;4
Hiroshi;Olsen;Brazil;Superior Double;7;mid;May;5;13076;8
Sophia;Smith;Italy;Standard Single;10;high;July;7;13760;13
Fatima;Smith;Pakistan;Standard Single;3;high;June;6;3942;4
Zhang;Smith;China;Grand Lit;2;high;July;7;3082;3
Zhang;Lee;Australia;Standard Double;10;mid;September;9;14490;11
Chen;Müller;Sweden;Grand Lit;6;mid;September;9;9006;7
John;Garcia;Canada;Standard Single;8;low;March;3;8032;6
Aisha;Yamamoto;United States;Grand Lit;10;high;August;8;14170;13
Aisha;Sato;Russia;Suite;3;mid;April;4;9639;3
Liam;Ivanov;Pakistan;LOFT Suite;3;low;November;11;9000;2
Olivia;Martinez;Sweden;Junior Suite;2;high;June;6;4996;3
Hiroshi;Brown;China;Standard Double;4;mid;October;10;5464;4
Hiroshi;Olsen;United States;Standard Double;8;low;February;2;10528;6
Santiago;Lee;Japan;LOFT Suite;3;high;July;7;11736;4
Aisha;Brown;Egypt;Spa Executive;7;mid;October;10;16562;8
Muhammad;Sato;China;Standard Single;1;mid;September;9;1159;1
Muhammad;Silva;Sweden;Standard Single;6;low;December;12;6702;5
Zhang;Patel;Mexico;Superior Double;10;high;August;8;20720;13
Liam;Müller;Italy;Spa Executive;8;high;July;7;20976;10
Aisha;Patel;Brazil;Suite;8;high;August;8;24160;10
David;Olsen;Vietnam;Junior Suite;1;high;July;7;2253;1
Muhammad;Kim;France;Grand Lit;10;high;July;7;17930;13
Lucas;Johansson;Japan;Superior Double;10;low;November;11;15900;8
Elena;Smith;Vietnam;LOFT Suite;5;low;February;2;16090;4
John;Sato;China;Spa Executive;10;mid;September;9;22700;11
Isabella;Rossi;Japan;Standard Single;6;mid;May;5;7146;7
Sara;Hassan;India;LOFT Suite;1;low;March;3;3225;1
Lucas;Lee;Spain;Suite;7;mid;May;5;20468;8
Fatima;Martinez;Pakistan;Junior Suite;9;mid;April;4;18153;10
John;Dubois;Japan;Junior Suite;9;high;August;8;20763;12
Muhammad;Smith;Japan;Junior Suite;7;low;February;2;15365;6
John;Hassan;United Kingdom;LOFT Suite;6;low;December;12;19416;5
Sophia;Garcia;Germany;Suite;7;high;June;6;23240;9
Sara;Patel;Vietnam;Grand Lit;4;mid;September;9;6028;4
Ahmed;Smith;Egypt;Spa Executive;8;low;January;1;18840;6
John;Nguyen;Pakistan;Spa Executive;10;mid;April;4;23890;11
Muhammad;Sato;United States;Junior Suite;5;high;June;6;12420;7
David;Lee;Sweden;LOFT Suite;6;high;August;8;22368;8
Sophia;Sato;Russia;Standard Single;5;low;March;3;5125;4
Olivia;Garcia;Nigeria;Standard Single;6;mid;September;9;7500;7
Liam;Brown;Sweden;Junior Suite;10;high;July;7;22870;13
Aisha;Garcia;Canada;LOFT Suite;2;mid;May;5;6886;2
Isabella;Dubois;South Korea;LOFT Suite;1;high;August;8;3522;1
Chen;Garcia;South Korea;Suite;1;high;August;8;3162;1
Sara;Yamamoto;Japan;Standard Double;10;high;June;6;17080;13
Ingrid;Hassan;South Korea;LOFT Suite;10;low;January;1;31010;8
Sara;Sato;Australia;Grand Lit;7;low;November;11;9471;6
Olivia;Lee;Mexico;Suite;7;low;December;12;18823;6
Carlos;Silva;Sweden;Superior Double;8;high;July;7;15240;10
David;Silva;Vietnam;Spa Executive;6;high;July;7;15522;8
Muhammad;Kim;Vietnam;Suite;2;high;August;8;6786;3
Hiroshi;Müller;Sweden;Standard Single;1;high;August;8;1312;1
Isabella;Müller;United Kingdom;Spa Executive;6;mid;April;4;14778;7
Hiroshi;Silva;Russia;Standard Single;10;low;January;1;9580;8
Isabella;Ivanov;Vietnam;Spa Executive;4;mid;October;10;9760;4
Aisha;Kim;United Kingdom;Spa Executive;9;low;March;3;19584;7
Carlos;Johansson;Mexico;Suite;3;low;March;3;7560;2
Liam;Schneider;United Kingdom;Junior Suite;5;high;July;7;11745;7
Lucas;Johansson;Nigeria;Junior Suite;3;high;June;6;7002;4
John;Ivanov;France;Superior Double;6;high;August;8;10962;8
Maria;Silva;South Korea;Standard Double;1;high;July;7;1807;1
Hiroshi;Khan;Egypt;Junior Suite;6;mid;October;10;13506;7
Liam;Müller;China;Standard Double;3;mid;April;4;4032;3
Chen;Smith;Canada;Junior Suite;7;mid;April;4;14560;8
Isabella;Schneider;Japan;Standard Double;10;mid;May;5;16260;11
Aisha;Ivanov;Russia;Suite;2;mid;October;10;5906;2
Lucas;Patel;Vietnam;LOFT Suite;4;mid;September;9;14076;4
Muhammad;Kim;South Korea;Superior Double;9;mid;April;4;15516;10
Maria;Smith;China;LOFT Suite;2;mid;May;5;7470;2
David;Yamamoto;Nigeria;Spa Executive;7;low;February;2;16373;6
Liam;Patel;Vietnam;Suite;1;low;March;3;2850;1
Lucas;Ivanov;Australia;Superior Double;9;low;December;12;13761;7
Chen;Kim;Sweden;Grand Lit;9;mid;October;10;13392;10
Elena;Garcia;China;Suite;10;mid;September;9;30350;11
Elena;Kim;Russia;Junior Suite;5;high;July;7;11205;7
Chen;Yamamoto;United Kingdom;Superior Double;1;low;November;11;1528;1
Fatima;Khan;Australia;Junior Suite;7;low;December;12;12824;6
John;Ivanov;Australia;Suite;9;mid;October;10;29592;10
Carlos;Kim;United States;Superior Double;10;mid;May;5;18100;11
David;Lee;Pakistan;Spa Executive;1;low;December;12;2149;1
Aisha;Brown;United States;Standard Double;7;low;February;2;10906;6
Sophia;Khan;Mexico;Grand Lit;4;high;July;7;6892;5
Ingrid;Yamamoto;India;Suite;1;low;March;3;2627;1
David;Martinez;Nigeria;Junior Suite;3;mid;April;4;7101;3
Carlos;Kim;Mexico;Superior Double;8;mid;May;5;15888;9
Olivia;Patel;Sweden;Suite;7;mid;April;4;22981;8
Elena;Rossi;Brazil;Spa Executive;4;high;June;6;10412;5
Lucas;Smith;Australia;Suite;4;mid;April;4;11744;4
Sophia;Hassan;Italy;Spa Executive;8;low;February;2;17920;6
Sophia;Silva;Germany;LOFT Suite;8;low;February;2;24560;6
